Record Date,Electronic Category Description,Channel Type Description,Tax Category Description,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-12-27,Non-Electronic,Mail,Non-Tax,726.95,4,2,1,1,2024,1,2023,4,12,27
2023-12-27,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,243104.79,3,1,1,2,2024,1,2023,4,12,27
2023-12-27,Non-Electronic,Over-the-Counter (OTC),Non-Tax,9395109.54,4,1,1,3,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,48241.05,2,1,2,4,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Bank,IRS Tax,2905.82,1,5,3,5,2024,1,2023,4,12,27
2023-12-27,Non-Electronic,Over-the-Counter (OTC),IRS Tax,8928690.37,4,1,3,6,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Internet,IRS Non-Tax,340448.95,1,3,2,7,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Bank,Non-Tax,1745081461.06,1,5,1,8,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,108002625.79,2,1,1,9,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,228590095.33,2,1,3,10,2024,1,2023,4,12,27
2023-12-27,Electronic Settlement,Mail,IRS Tax,420589935.07,3,2,3,11,2024,1,2023,4,12,27
2023-12-27,Electronic Settlement,Mail,Non-Tax,71210053.50,3,2,1,12,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,9817179.16,1,1,1,13,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Internet,IRS Tax,8661270908.15,1,3,3,14,2024,1,2023,4,12,27
2023-12-27,Fully Electronic - All,Internet,Non-Tax,731640248.18,1,3,1,15,2024,1,2023,4,12,27
2023-12-26,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,33649.00,3,1,1,1,2024,1,2023,4,12,26
2023-12-26,Non-Electronic,Over-the-Counter (OTC),Non-Tax,19852564.49,4,1,1,2,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - All,Bank,IRS Non-Tax,764.97,1,5,2,3,2024,1,2023,4,12,26
2023-12-26,Non-Electronic,Over-the-Counter (OTC),IRS Tax,4880345.29,4,1,3,4,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,85862.53,2,1,2,5,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - All,Internet,IRS Non-Tax,608409.32,1,3,2,6,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,81063886.83,2,1,1,7,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - All,Bank,Non-Tax,1451251598.44,1,5,1,8,2024,1,2023,4,12,26
2023-12-26,Electronic Settlement,Mail,IRS Tax,316716796.54,3,2,3,10,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,182760065.02,2,1,3,9,2024,1,2023,4,12,26
2023-12-26,Electronic Settlement,Mail,Non-Tax,57818037.61,3,2,1,11,2024,1,2023,4,12,26
2023-12-26,Fully Electronic - All,Internet,IRS Tax,32299197957.17,1,3,3,12,2024,1,2023,4,12,26
